Participant,Months,Gender,Condition,Order,Obstacle,Task,Outcome,Looking,TaskOrder,Habituated
P01,11.29588717,f,1,2,yes,Inaccessible,Unexpected,7.601408109,3,1
P01,11.29588717,f,1,1,yes,Inaccessible,Expected,19.35810742,3,1
P02,11.32876352,m,7,2,no,Multiagent,Unexpected,9.663566777,3,0
P02,11.32876352,m,7,1,no,Multiagent,Expected,28.87990157,3,0
P03,10.72327974,m,5,2,no,GoalDirected,Unexpected,16.45852667,1,1
P03,10.72327974,m,5,1,no,GoalDirected,Expected,14.36812166,1,1
P03,11.09862906,m,1,2,yes,Multiagent,Unexpected,12.94406431,5,0
P03,11.09862906,m,1,1,yes,Multiagent,Expected,9.015163406,5,0
P04,10.7561561,f,3,2,no,Inaccessible,Unexpected,6.735022464,2,0
P04,10.7561561,f,3,1,no,Inaccessible,Expected,19.06544805,2,0
P04,10.88766151,f,7,2,no,GoalDirected,Unexpected,4.249047967,4,1
P04,10.88766151,f,7,1,no,GoalDirected,Expected,8.496139772,4,1
P05,10.95341421,f,3,2,no,Multiagent,Unexpected,7.142446229,3,1
P05,10.95341421,f,3,1,no,Multiagent,Expected,10.82665958,3,1
P05,11.13150541,f,1,2,no,Inaccessible,Unexpected,6.663244802,4,0
P05,11.13150541,f,1,1,no,Inaccessible,Expected,5.201595567,4,0
P08,11.19725811,f,3,2,yes,Inaccessible,Unexpected,1.677556775,4,0
P08,11.19725811,f,3,1,yes,Inaccessible,Expected,2.012337352,4,0
P09,11.09862906,m,1,2,no,Inaccessible,Unexpected,5.873244472,4,0
P09,11.09862906,m,1,1,no,Inaccessible,Expected,13.95623511,4,0
P09,11.16438176,m,1,2,no,GoalDirected,Unexpected,5.683462872,6,0
P09,11.16438176,m,1,1,no,GoalDirected,Expected,9.975886388,6,0
P11,10.78903245,m,1,2,yes,Inaccessible,Unexpected,16.60457919,1,0
P11,10.78903245,m,1,1,yes,Inaccessible,Expected,18.27806435,1,0
P11,10.8219088,m,1,2,yes,Multiagent,Unexpected,7.640059787,2,0
P11,10.8219088,m,1,1,yes,Multiagent,Expected,8.753105475,2,0
P11,11.26301082,m,5,2,yes,GoalDirected,Unexpected,5.128495901,5,1
P11,11.26301082,m,5,1,yes,GoalDirected,Expected,5.485389746,5,1
P12,11.29588717,f,3,2,no,Inaccessible,Unexpected,11.37704799,3,0
P12,11.29588717,f,3,1,no,Inaccessible,Expected,8.09991147,3,0
P12,11.32876352,f,7,2,no,GoalDirected,Unexpected,25.28323503,4,1
P12,11.32876352,f,7,1,no,GoalDirected,Expected,5.759862687,4,1
P14,11.0657527,m,3,2,no,GoalDirected,Unexpected,13.67607564,4,1
P14,11.0657527,m,3,1,no,GoalDirected,Expected,2.754888247,4,1
P16,11.13150541,m,5,2,yes,Multiagent,Unexpected,12.51161972,3,0
P16,11.13150541,m,5,1,yes,Multiagent,Expected,6.463665863,3,0
P16,11.32876352,m,3,2,yes,Inaccessible,Unexpected,2.850142081,5,0
P16,11.32876352,m,3,1,yes,Inaccessible,Expected,4.883100606,5,0
P17,10.92053786,f,1,2,no,Inaccessible,Unexpected,7.531479408,1,0
P17,10.92053786,f,1,1,no,Inaccessible,Expected,7.96177692,1,0
P17,11,f,1,2,yes,GoalDirected,Unexpected,6.309091824,3,0
P17,11,f,1,1,yes,GoalDirected,Expected,7.562311559,3,0
P18,11.16438176,f,7,2,yes,Multiagent,Unexpected,2.429978196,5,1
P18,11.16438176,f,7,1,yes,Multiagent,Expected,18.29579461,5,1
P19,11.09862906,f,5,2,no,GoalDirected,Unexpected,9.491345255,2,0
P19,11.09862906,f,5,1,no,GoalDirected,Expected,4.321335583,2,0
P19,11.36163987,f,1,2,yes,Multiagent,Unexpected,7.898484489,5,1
P19,11.36163987,f,1,1,yes,Multiagent,Expected,14.83878861,5,1
P21,11.23013446,f,3,2,no,Multiagent,Unexpected,17.68188361,4,1
P21,11.23013446,f,3,1,no,Multiagent,Expected,7.095636997,4,1
P21,11.39451622,f,1,2,no,Inaccessible,Unexpected,3.088035398,6,0
P21,11.39451622,f,1,1,no,Inaccessible,Expected,2.505301961,6,0
P22,10.85478515,f,3,2,no,GoalDirected,Unexpected,9.140491575,1,0
P22,10.85478515,f,3,1,no,GoalDirected,Expected,7.08768372,1,0
P22,11.16438176,f,3,2,yes,Inaccessible,Unexpected,12.06172401,6,0
P22,11.16438176,f,3,1,yes,Inaccessible,Expected,12.5594989,6,0
P24,11.23013446,f,3,2,yes,Inaccessible,Unexpected,1.501205259,3,0
P24,11.23013446,f,3,1,yes,Inaccessible,Expected,16.08819719,3,0
P24,11.32876352,f,5,2,yes,Multiagent,Unexpected,7.50103461,4,0
P24,11.32876352,f,5,1,yes,Multiagent,Expected,13.85512282,4,0
P25,10.92053786,f,1,2,no,GoalDirected,Unexpected,18.51815751,3,1
P25,10.92053786,f,1,1,no,GoalDirected,Expected,10.72501505,3,1
P25,11,f,1,2,yes,Inaccessible,Unexpected,4.75831082,5,1
P25,11,f,1,1,yes,Inaccessible,Expected,3.015337701,5,1
P26,11.23013446,m,7,2,yes,Multiagent,Unexpected,10.08794011,1,0
P26,11.23013446,m,7,1,yes,Multiagent,Expected,6.446857507,1,0
P28,11.19725811,m,7,2,no,GoalDirected,Unexpected,12.57427986,2,1
P28,11.19725811,m,7,1,no,GoalDirected,Expected,7.453599924,2,1
P28,11.23013446,m,3,2,no,Inaccessible,Unexpected,8.964404361,3,0
P28,11.23013446,m,3,1,no,Inaccessible,Expected,5.4353693,3,0
P32,11.23013446,m,5,2,yes,Multiagent,Unexpected,8.555662062,2,0
P32,11.23013446,m,5,1,yes,Multiagent,Expected,13.32920443,2,0
P32,11.32876352,m,3,2,no,Inaccessible,Unexpected,2.424582806,5,1
P32,11.32876352,m,3,1,no,Inaccessible,Expected,2.713087806,5,1
P10b,11.19725811,m,7,2,yes,Multiagent,Unexpected,10.97794956,4,0
P10b,11.19725811,m,7,1,yes,Multiagent,Expected,34.40949457,4,0
P13b,11.26301082,m,3,2,yes,Multiagent,Unexpected,15.41972222,6,0
P13b,11.26301082,m,3,1,yes,Multiagent,Expected,7.869590873,6,0
P16b,11.19725811,f,5,2,yes,Multiagent,Unexpected,7.284454091,3,0
P16b,11.19725811,f,5,1,yes,Multiagent,Expected,9.89965082,3,0
P16b,11.26301082,f,3,2,yes,Inaccessible,Unexpected,4.198454966,5,1
P16b,11.26301082,f,3,1,yes,Inaccessible,Expected,9.117325839,5,1
P08c,10.65752704,m,3,2,yes,Inaccessible,Unexpected,2.040943791,4,1
P08c,10.65752704,m,3,1,yes,Inaccessible,Expected,8.259069501,4,1
P03e,11.16438176,m,5,2,no,GoalDirected,Unexpected,9.199239167,1,0
P03e,11.16438176,m,5,1,no,GoalDirected,Expected,14.39991571,1,0
P03e,11.29588717,m,1,2,yes,Multiagent,Unexpected,9.849429125,5,1
P03e,11.29588717,m,1,1,yes,Multiagent,Expected,12.82215629,5,1
P30c,10.69040339,m,3,2,no,GoalDirected,Unexpected,3.1133455,4,0
P30c,10.69040339,m,3,1,no,GoalDirected,Expected,4.409164042,4,0
P27d,10.95341421,m,5,2,no,GoalDirected,Unexpected,7.072916542,1,1
P27d,10.95341421,m,5,1,no,GoalDirected,Expected,8.750066084,1,1
P27d,11.23013446,m,1,2,no,Multiagent,Unexpected,9.921260584,6,0
P27d,11.23013446,m,1,1,no,Multiagent,Expected,8.455892961,6,0
P20e,10.72327974,f,3,2,no,Inaccessible,Unexpected,5.939457052,4,1
P20e,10.72327974,f,3,1,no,Inaccessible,Expected,6.101343721,4,1
P20e,10.78903245,f,7,2,yes,GoalDirected,Unexpected,3.41043942,6,1
P20e,10.78903245,f,7,1,yes,GoalDirected,Expected,21.66551257,6,1
P08e,10.7561561,m,3,2,yes,Inaccessible,Unexpected,3.963830997,4,0
P08e,10.7561561,m,3,1,yes,Inaccessible,Expected,4.785408083,4,0
P06c,11,f,3,2,no,GoalDirected,Unexpected,6.28588128,1,0
P06c,11,f,3,1,no,GoalDirected,Expected,6.240300357,1,0
P29b,10.7561561,m,3,2,yes,Multiagent,Unexpected,10.19217511,1,0
P29b,10.7561561,m,3,1,yes,Multiagent,Expected,5.720698769,1,0
P29b,10.92053786,m,1,2,no,Inaccessible,Unexpected,12.68887261,6,1
P29b,10.92053786,m,1,1,no,Inaccessible,Expected,16.21642296,6,1
P08f,11.23013446,m,3,2,yes,Inaccessible,Unexpected,14.67329675,4,0
P08f,11.23013446,m,3,1,yes,Inaccessible,Expected,4.218786546,4,0
P01,11.26301082,f,2,1,yes,Multiagent,Unexpected,16.78953422,2,1
P01,11.26301082,f,2,2,yes,Multiagent,Expected,17.89038657,2,1
P01,11.46026893,f,2,1,yes,GoalDirected,Unexpected,16.73036348,5,0
P01,11.46026893,f,2,2,yes,GoalDirected,Expected,12.21585245,5,0
P02,11.42739258,m,4,1,no,Inaccessible,Unexpected,10.61236895,4,1
P02,11.42739258,m,4,2,no,Inaccessible,Expected,15.57522574,4,1
P02,11.49314528,m,4,1,no,GoalDirected,Unexpected,17.9047791,6,1
P02,11.49314528,m,4,2,no,GoalDirected,Expected,5.411385144,6,1
P03,10.7561561,m,2,1,no,Inaccessible,Unexpected,24.81562328,2,1
P03,10.7561561,m,2,2,no,Inaccessible,Expected,12.83537572,2,1
P04,10.8219088,f,6,1,no,Multiagent,Unexpected,13.49072894,3,0
P04,10.8219088,f,6,2,no,Multiagent,Expected,8.336593595,3,0
P05,11.16438176,f,2,1,no,GoalDirected,Unexpected,4.677068187,5,0
P05,11.16438176,f,2,2,no,GoalDirected,Expected,7.030577123,5,0
P08,11.0657527,f,8,1,yes,GoalDirected,Unexpected,16.10648799,1,0
P08,11.0657527,f,8,2,yes,GoalDirected,Expected,6.13222754,1,0
P08,11.13150541,f,6,1,yes,Multiagent,Unexpected,3.130182195,2,0
P08,11.13150541,f,6,2,yes,Multiagent,Expected,3.498758153,2,0
P09,11.13150541,m,4,1,no,Multiagent,Unexpected,7.751334633,5,0
P09,11.13150541,m,4,2,no,Multiagent,Expected,16.50311529,5,0
P12,11.26301082,f,6,1,no,Multiagent,Unexpected,17.06114813,2,0
P12,11.26301082,f,6,2,no,Multiagent,Expected,13.41571497,2,0
P14,10.8219088,m,4,1,yes,Inaccessible,Unexpected,19.16588996,1,0
P14,10.8219088,m,4,2,yes,Inaccessible,Expected,6.741900799,1,0
P14,11.13150541,m,8,1,no,Multiagent,Unexpected,1.883070652,5,1
P14,11.13150541,m,8,2,no,Multiagent,Expected,17.94631522,5,1
P15,10.55889798,f,2,1,no,Inaccessible,Unexpected,3.027951255,2,0
P15,10.55889798,f,2,2,no,Inaccessible,Expected,7.197426687,2,0
P15,10.62465069,f,6,1,no,GoalDirected,Unexpected,11.8631934,3,0
P15,10.62465069,f,6,2,no,GoalDirected,Expected,4.7497847,3,0
P15,11.19725811,f,2,1,no,Multiagent,Unexpected,4.218865689,6,0
P15,11.19725811,f,2,2,no,Multiagent,Expected,2.335090149,6,0
P16,10.65752704,m,8,1,no,GoalDirected,Unexpected,10.62716821,1,0
P16,10.65752704,m,8,2,no,GoalDirected,Expected,9.902449838,1,0
P17,11.16438176,f,4,1,no,Multiagent,Unexpected,7.501155343,6,0
P17,11.16438176,f,4,2,no,Multiagent,Expected,12.73163943,6,0
P18,10.92053786,f,4,1,no,GoalDirected,Unexpected,11.18109168,2,1
P18,10.92053786,f,4,2,no,GoalDirected,Expected,2.765060731,2,1
P18,11.26301082,f,4,1,yes,Inaccessible,Unexpected,3.715729672,6,0
P18,11.26301082,f,4,2,yes,Inaccessible,Expected,2.71343637,6,0
P19,11.39451622,f,2,1,yes,Inaccessible,Unexpected,15.80197673,6,0
P19,11.39451622,f,2,2,yes,Inaccessible,Expected,25.54381342,6,0
P21,11.13150541,f,2,1,yes,GoalDirected,Unexpected,10.09143949,2,1
P21,11.13150541,f,2,2,yes,GoalDirected,Expected,1.73206773,2,1
P22,11.09862906,f,8,1,no,Multiagent,Unexpected,15.57568199,4,0
P22,11.09862906,f,8,2,no,Multiagent,Expected,11.63628322,4,0
P23,10.88766151,f,2,1,no,Multiagent,Unexpected,13.9848006,2,0
P23,10.88766151,f,2,2,no,Multiagent,Expected,29.54523757,2,0
P23,11.09862906,f,6,1,no,GoalDirected,Unexpected,5.157793738,3,1
P23,11.09862906,f,6,2,no,GoalDirected,Expected,5.393772708,3,1
P23,11.32876352,f,2,1,yes,Inaccessible,Unexpected,5.168177253,5,1
P23,11.32876352,f,2,2,yes,Inaccessible,Expected,4.344909849,5,1
P24,11.39451622,f,8,1,yes,GoalDirected,Unexpected,4.765686978,5,1
P24,11.39451622,f,8,2,yes,GoalDirected,Expected,13.10010474,5,1
P25,10.7561561,f,4,1,no,Multiagent,Unexpected,16.76351002,1,0
P25,10.7561561,f,4,2,no,Multiagent,Expected,15.48081825,1,0
P26,11.26301082,m,4,1,yes,Inaccessible,Unexpected,1.928908696,2,1
P26,11.26301082,m,4,2,yes,Inaccessible,Expected,11.21754375,2,1
P26,11.36163987,m,4,1,yes,GoalDirected,Unexpected,3.233987241,4,0
P26,11.36163987,m,4,2,yes,GoalDirected,Expected,7.746322758,4,0
P28,11.16438176,m,6,1,no,Multiagent,Unexpected,27.82590986,1,0
P28,11.16438176,m,6,2,no,Multiagent,Expected,18.49912425,1,0
P31,11.32876352,f,6,1,yes,GoalDirected,Unexpected,6.537818862,3,0
P31,11.32876352,f,6,2,yes,GoalDirected,Expected,7.620926572,3,0
P31,11.42739258,f,2,1,no,Inaccessible,Unexpected,6.855171872,5,1
P31,11.42739258,f,2,2,no,Inaccessible,Expected,7.405403119,5,1
P31,11.46026893,f,2,1,no,Multiagent,Unexpected,9.601881108,6,0
P31,11.46026893,f,2,2,no,Multiagent,Expected,6.597999836,6,0
P32,11.26301082,m,8,1,yes,GoalDirected,Unexpected,3.542570573,3,1
P32,11.26301082,m,8,2,yes,GoalDirected,Expected,5.956125609,3,1
